,symbol,baseMean,FoldChange,log2FoldChange,lfcSE,stat,pvalue,padj,description
ENSRNOG00000000156,Megf6,142.943068144808,0.48885039049172,-1.03253508967029,0.461031636660518,-2.23961873234873,0.0251156855424212,0.998987910628626,multiple EGF-like-domains 6
ENSRNOG00000000248,Srsf2,4299.59491726424,1.15873219715381,0.212547173348995,0.101790875730002,2.08807687157316,0.0367909009909224,0.998987910628626,serine and arginine rich splicing factor 2
ENSRNOG00000000456,Psmb8,140.617263187673,0.770947264297682,-0.37529591715728,0.189596288513113,-1.97944759415121,0.0477656344305523,0.998987910628626,proteasome 20S subunit beta 8
ENSRNOG00000000775,Mog,1721.61074531155,1.75872767927547,0.814532113751539,0.343807032652491,2.36915489327655,0.0178287850561059,0.998987910628626,myelin oligodendrocyte glycoprotein
ENSRNOG00000000811,Pkib,154.501978523873,1.36524382349882,0.449158629928613,0.228858118331707,1.96260737090219,0.0496918135957785,0.998987910628626,cAMP-dependent protein kinase inhibitor beta
ENSRNOG00000000891,LOC102548389,1324.63017761936,1.27926799370581,0.355318525900285,0.153135798098129,2.3202838938587,0.0203255248153437,0.998987910628626,zinc finger protein 709-like
ENSRNOG00000001030,Tsc22d1,16867.7602144402,0.891123119712247,-0.166303323154491,0.0823661984778025,-2.01907246210117,0.0434796885752967,0.998987910628626,TSC22 domain family, member 1
ENSRNOG00000001157,Umodl1,19.7118120298359,2.33223304343657,1.221711953981,0.447571224003198,2.72964812852283,0.00634019581427359,0.998987910628626,uromodulin-like 1
ENSRNOG00000001213,Aire,1.71795766872151,7.13898347927006,2.83571866335511,1.38666331194463,2.04499436808373,0.040855413348691,0.998987910628626,autoimmune regulator
ENSRNOG00000001243,Zcchc8,1070.6116280559,1.24955908479659,0.321419120174276,0.129643890858596,2.47924617230788,0.013166040251656,0.998987910628626,zinc finger CCHC-type containing 8
ENSRNOG00000001259,Cux2,3589.8515902927,0.805050492930368,-0.312848822696457,0.155779573811116,-2.00827884582473,0.0446136685323605,0.998987910628626,cut-like homeobox 2
ENSRNOG00000001315,Rsph14,46.0265755314414,1.45023622742972,0.536287918435557,0.252636200212446,2.12276751306655,0.0337733384168203,0.998987910628626,radial spoke head 14 homolog
ENSRNOG00000001329,Gjc3,1484.6862092595,1.55736259998853,0.639104885522614,0.298227663097999,2.14301007117707,0.0321122896870467,0.998987910628626,gap junction protein, gamma 3
ENSRNOG00000001547,Agps,1236.14711023429,1.17512761275731,0.232817434488379,0.11852306313483,1.96432178118388,0.0494927873174854,0.998987910628626,alkylglycerone phosphate synthase
ENSRNOG00000001554,RGD1563888,716.197409748052,1.4845638079797,0.570039103077039,0.259161040365216,2.19955554381834,0.0278384442520827,0.998987910628626,similar to DNA segment, Chr 16, ERATO Doi 472, expressed
ENSRNOG00000001575,Grik1,2051.6428794397,1.32543433105772,0.406465193325287,0.182629295138028,2.22562975462445,0.0260389914650197,0.998987910628626,glutamate ionotropic receptor kainate type subunit 1
ENSRNOG00000001598,Usp16,1080.01099751335,1.2276614773394,0.295912798254861,0.127707400926792,2.31711550080399,0.0204974408436763,0.998987910628626,ubiquitin specific peptidase 16
ENSRNOG00000001622,Impg2,79.9855988714714,1.61130979943847,0.688233901334743,0.311559718823053,2.20899512919903,0.0271749796970501,0.998987910628626,interphotoreceptor matrix proteoglycan 2
ENSRNOG00000001632,Brwd1,3882.23659571571,1.14982955184654,0.201420015142684,0.0904393532052919,2.22712799245117,0.0259387208694206,0.998987910628626,bromodomain and WD repeat domain containing 1
ENSRNOG00000001758,Dynlt2b,519.14452735383,1.19225732863649,0.253695650801067,0.104834313692055,2.41996767915402,0.0155218866549771,0.998987910628626,dynein light chain Tctex-type 2B
ENSRNOG00000001774,Lrch3,2725.53460124298,1.18320077219126,0.242694899094702,0.108767931222585,2.23130932405108,0.0256606464801486,0.998987910628626,leucine rich repeats and calponin homology domain containing 3
ENSRNOG00000001808,Ints13,1712.42566564318,1.21757089540321,0.284005778442187,0.143838829628852,1.97447225603133,0.0483280691007478,0.998987910628626,integrator complex subunit 13
ENSRNOG00000001865,Serpind1,4.96923259862631,0.017528566087164,-5.83414820757057,2.85347691611188,-2.04457522492248,0.0408967541018946,0.998987910628626,serpin family D member 1
ENSRNOG00000001928,Il1rap,2110.01377948863,1.16369008034991,0.218706883781847,0.0948140916646456,2.30669175796575,0.0210720100595519,0.998987910628626,interleukin 1 receptor accessory protein
ENSRNOG00000002057,Slc10a6,89.6527368212105,0.583431628367622,-0.777364496700171,0.372235791694422,-2.08836579943481,0.0367648501114303,0.998987910628626,solute carrier family 10 member 6
ENSRNOG00000002073,Brdt,747.457674091195,1.26860179561005,0.343239289310754,0.164348942107547,2.08847884817015,0.0367546614675008,0.998987910628626,bromodomain testis associated
ENSRNOG00000002092,Hunk,637.687356314928,0.730003102612267,-0.454025499231941,0.138831021684598,-3.27034616415497,0.00107415948969839,0.998987910628626,hormonally upregulated Neu-associated kinase
ENSRNOG00000002097,Rasl11b,1375.85387754142,0.691140632758846,-0.532948795937496,0.19207881476092,-2.7746360086658,0.00552635209897106,0.998987910628626,RAS-like family 11 member B
ENSRNOG00000002238,Sema5b,1102.65505913617,1.56157089831939,0.642998071972512,0.262952625200415,2.44530006681788,0.0144731669679867,0.998987910628626,semaphorin 5B
ENSRNOG00000002241,Hspbap1,429.120300581961,1.2442651647858,0.315293970320491,0.159492504395907,1.97685760540721,0.0480577280648591,0.998987910628626,HSPB1 associated protein 1
ENSRNOG00000002419,Plp1,45269.5372899034,1.6007319342165,0.678731727868504,0.322536626960446,2.10435550921707,0.0353474473003477,0.998987910628626,proteolipid protein 1
ENSRNOG00000002504,Spata17,129.174474484818,1.67144814176744,0.741098594694747,0.321510096921687,2.30505542995517,0.0211634692261385,0.998987910628626,spermatogenesis associated 17
